ï»¿Sr_Id,Description,Category,CategoryId,Problem,Priority,Status,RequestedBy,creatadAt
1,TV voice is not properly,ELECTRONIC,1,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
2,y,ELECTRONIC,1,,high,O,admin,1566978891326
8,y,ELECTRONIC,1,,,O,,1568803835411
1,TV voice is not properly,ELECTRONIC,1,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
1,TV voice is not properly,ELECTRONIC,1,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
1,TV voice is not properly,ELECTRONIC,1,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
1,TV voice is not properly,ELECTRONIC,1,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
1,TV voice is not properly,ELECTRONIC,1,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
10,,ELECTRONIC,1,sdafsdafsdfsd sd sdf sdfsdf ,,O,,1570433346098
10,,ELECTRONIC,1,TV Not Working,,O,,1570433346098
10,,ELECTRONIC,1,TV Not Working,,O,,1570433346098
