ï»¿Sr_Id,Description,Category,Problem,Priority,Status,RequestedBy,creatadAt
1,TV voice is not properly,ELECTRONIC,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
2,y,ELECTRONIC,,high,O,admin,1566978891326
8,y,ELECTRONIC,,,O,,1568803835411
1,TV voice is not properly,ELECTRONIC,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
1,TV voice is not properly,ELECTRONIC,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
1,TV voice is not properly,ELECTRONIC,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
1,TV voice is not properly,ELECTRONIC,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
1,TV voice is not properly,ELECTRONIC,sdafsdafsdfsd sd sdf sdfsdf ,high,O,admin,1566978699119
10,,ELECTRONIC,sdafsdafsdfsd sd sdf sdfsdf ,,O,,1570433346098
10,,ELECTRONIC,TV Not Working,,O,,1570433346098
10,,ELECTRONIC,TV Not Working,,O,,1570433346098
